0 Model Error:2917.79358061739[0,162143] 297 Explicit 185 
2 		Model Error:188.727198265544[24960,25151] 107 Trend 2 
3 			Model Error:1.81898940354586E-11[24960,25055] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[25056,25151] 107 Trend 0 
1 	Model Error:885.239176638919[25152,27551] 130 Explicit 16 
2 		Model Error:2.91038304567337E-11[25152,25247] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[25248,25343] 107 Trend 0 
2 		Model Error:352.873710876156[25344,25535] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[25344,25439] 106 Explicit 0 
3 			Model Error:4.00177668780088E-11[25440,25535] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[25536,25631] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[25632,25727] 107 Trend 0 
2 		Model Error:383.626744445086[25728,25919] 107 Trend 2 
3 			Model Error:4.36557456851006E-11[25728,25823] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[25824,25919] 106 Explicit 0 
2 		Model Error:242.723060831922[25920,26111] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[25920,26015] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[26016,26111] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[26112,26207] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[26208,26303] 106 Explicit 0 
2 		Model Error:172.143633541811[26304,26495] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[26304,26399] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[26400,26495] 106 Explicit 0 
2 		Model Error:3.63797880709171E-11[26496,26591] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[26592,26687] 107 Trend 0 
2 		Model Error:356.360913416567[26688,26879] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[26688,26783] 106 Explicit 0 
3 			Model Error:3.63797880709171E-11[26784,26879] 107 Trend 0 
2 		Model Error:494.353430425894[26880,27263] 109 Explicit 4 
3 			Model Error:2.91038304567337E-11[26880,26975] 107 Trend 0 
3 			Model Error:3.27418092638254E-11[26976,27071] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[27072,27167] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[27168,27263] 107 Trend 0 
