0 Model Error:3896.43997284128%[0,2500000] 283 Trend 406
3 			Model Error:4.36557456851006E-11%[2304,2399] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2400,2495] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2496,2591] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2592,2687] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2688,2783] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2784,2879] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2880,2975] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2976,3071] 101 Trend 0
1 	Model Error:981.363741435405%[36864,43007] 163 Explicit 1
2 		Model Error:981.363741435405%[0,6143] 163 Explicit 16
3 			Model Error:558.929775137622%[0,383] 103 Explicit 0
3 			Model Error:608.343912643635%[384,767] 103 Explicit 0
3 			Model Error:602.812243990193%[768,1151] 103 Explicit 0
3 			Model Error:639.685670695479%[1152,1535] 103 Explicit 0
3 			Model Error:495.489812132335%[1536,1919] 103 Explicit 0
3 			Model Error:649.572662405993%[1920,2303] 103 Explicit 0
3 			Model Error:625.691346959662%[2304,2687] 103 Explicit 0
3 			Model Error:647.649321297824%[2688,3071] 103 Explicit 0
3 			Model Error:530.629187651743%[3072,3455] 103 Explicit 0
3 			Model Error:608.387438898761%[3456,3839] 103 Explicit 0
3 			Model Error:551.630446530908%[3840,4223] 103 Explicit 0
3 			Model Error:614.937453020066%[4224,4607] 103 Explicit 0
3 			Model Error:590.704025242871%[4608,4991] 103 Explicit 0
3 			Model Error:741.391146108479%[4992,5375] 103 Explicit 0
3 			Model Error:689.083051561771%[5376,5759] 103 Explicit 0
3 			Model Error:589.701069005758%[5760,6143] 103 Explicit 0
1 	Model Error:2666.97224224896%[43008,49151] 163 Explicit 2
2 		Model Error:2315.0594783256%[0,3071] 101 Implicit 16
3 			Model Error:685.399472543191%[0,191] 101 Explicit 0
3 			Model Error:477.676310932104%[192,383] 101 Explicit 0
3 			Model Error:576.450279561876%[384,575] 101 Trend 0
3 			Model Error:514.496772080027%[576,767] 101 Trend 0
3 			Model Error:414.215403095783%[768,959] 101 Explicit 0
3 			Model Error:761.096242661224%[960,1151] 101 Explicit 0
3 			Model Error:148.537838834036%[1152,1343] 101 Trend 0
3 			Model Error:638.47472373092%[1344,1535] 101 Trend 0
3 			Model Error:307.173964719688%[1536,1727] 101 Explicit 0
3 			Model Error:563.571804193416%[1728,1919] 101 Trend 0
3 			Model Error:864.122818770389%[1920,2111] 101 Trend 0
3 			Model Error:593.227790483696%[2112,2303] 101 Explicit 0
3 			Model Error:437.064614261759%[2304,2495] 101 Explicit 0
3 			Model Error:183.459303367781%[2496,2687] 101 Trend 0
3 			Model Error:737.057802928677%[2688,2879] 101 Explicit 0
3 			Model Error:495.802589302337%[2880,3071] 101 Explicit 0
2 		Model Error:1735.7352967421%[3072,6143] 131 Explicit 32
3 			Model Error:2.18278728425503E-11%[0,95] 100 Explicit 0
3 			Model Error:1.45519152283669E-11%[96,191] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[192,287] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[288,383] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[384,479] 100 Explicit 0
3 			Model Error:5.0931703299284E-11%[480,575] 100 Explicit 0
